ProjectCode,ProjectName,ReportMonth,ActualOutcome,PredictedRisk,Feature,SHAPValue,Impact,Rank
400168,"500 KTA PDHPP Project, Usar",2026-05-01,1,0.3214,numeric__Prev_RobustGap,0.336183,Increases Risk,3
400168,"500 KTA PDHPP Project, Usar",2026-05-01,1,0.3214,numeric__RemainingPlannedDays,0.264449,Increases Risk,4
400168,"500 KTA PDHPP Project, Usar",2026-05-01,1,0.3214,numeric__PlannedDurationDays,-0.254737,Decreases Risk,5
400168,"500 KTA PDHPP Project, Usar",2026-05-01,1,0.3214,numeric__Prev_ExpenditureRatio,-0.225283,Decreases Risk,6
400168,"500 KTA PDHPP Project, Usar",2026-05-01,1,0.3214,numeric__missingindicator_Prev_Expenditure,0.143595,Increases Risk,7
400168,"500 KTA PDHPP Project, Usar",2026-05-01,1,0.3214,numeric__Prev_PhysicalProgress,0.103904,Increases Risk,8
400168,"500 KTA PDHPP Project, Usar",2026-05-01,1,0.3214,numeric__RobustCurrentExpenditurePct,0.10101,Increases Risk,9
400168,"500 KTA PDHPP Project, Usar",2026-05-01,1,0.3214,numeric__CurrentGapVsPreviousGap,0.098839,Increases Risk,10
400171,2G Ethanol Biorefinery at Bathinda,2026-04-01,0,0.1167,numeric__Physical Progress,-0.319218,Decreases Risk,1
400171,2G Ethanol Biorefinery at Bathinda,2026-04-01,0,0.1167,numeric__ScheduleElapsedRatio,-0.272294,Decreases Risk,2
400171,2G Ethanol Biorefinery at Bathinda,2026-04-01,0,0.1167,numeric__RobustCurrentExpenditurePct,0.253011,Increases Risk,3
400171,2G Ethanol Biorefinery at Bathinda,2026-04-01,0,0.1167,numeric__missingindicator_Prev_Expenditure,-0.197234,Decreases Risk,4
400171,2G Ethanol Biorefinery at Bathinda,2026-04-01,0,0.1167,numeric__Prev_RobustGap,-0.169086,Decreases Risk,5
400171,2G Ethanol Biorefinery at Bathinda,2026-04-01,0,0.1167,numeric__ProgressScheduleGap,-0.147429,Decreases Risk,6
400171,2G Ethanol Biorefinery at Bathinda,2026-04-01,0,0.1167,categorical__Agency_National Highways Authority of India [NHAI],-0.134485,Decreases Risk,7
400171,2G Ethanol Biorefinery at Bathinda,2026-04-01,0,0.1167,numeric__CurrentExpenditureRatio,0.118209,Increases Risk,8
400171,2G Ethanol Biorefinery at Bathinda,2026-04-01,0,0.1167,numeric__Expenditure,0.109091,Increases Risk,9
